"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 22","4,599.00","4,376.50","4,630.75","4,138.25","27.55M","5.29%"
"Feb 22","4,368.00","4,493.25","4,586.00","4,101.75","36.31M","-3.02%"
"Jan 22","4,504.25","4,771.00","4,808.25","4,212.75","41.90M","-5.34%"
"Dec 21","4,758.50","4,587.50","4,799.75","4,492.00","30.48M","4.21%"
"Nov 21","4,566.25","4,608.00","4,740.50","4,557.00","29.33M","-0.67%"
"Oct 21","4,597.00","4,301.00","4,603.50","4,260.00","29.00M","6.96%"
"Sep 21","4,297.75","4,527.75","4,549.50","4,293.75","29.63M","-4.93%"
"Aug 21","4,520.50","4,396.50","4,542.25","4,347.75","24.92M","2.98%"
"Jul 21","4,389.50","4,294.25","4,422.50","4,224.00","28.65M","2.36%"
"Jun 21","4,288.50","4,206.50","4,294.25","4,126.75","21.66M","2.05%"
"May 21","4,202.50","4,181.50","4,238.25","4,029.25","32.43M","0.67%"
"Apr 21","4,174.50","3,967.50","4,211.00","3,964.50","28.50M","5.22%"
"Mar 21","3,967.50","3,817.25","3,988.75","3,720.50","38.32M","4.15%"
"Feb 21","3,809.25","3,692.25","3,959.25","3,656.50","29.84M","2.81%"
"Jan 21","3,705.25","3,748.75","3,862.25","3,652.50","30.18M","-1.16%"
"Dec 20","3,748.75","3,631.00","3,753.00","3,596.00","22.99M","3.46%"
"Nov 20","3,623.25","3,260.00","3,668.00","3,243.25","30.99M","10.98%"
"Oct 20","3,264.75","3,344.75","3,541.00","3,225.00","35.98M","-2.60%"
"Sep 20","3,352.00","3,493.25","3,587.00","3,198.00","36.20M","-4.20%"
"Aug 20","3,499.00","3,272.00","3,524.50","3,254.75","26.70M","7.22%"
"Jul 20","3,263.50","3,085.25","3,284.50","3,062.75","35.56M","5.61%"
"Jun 20","3,090.25","3,029.75","3,231.25","2,935.00","37.47M","1.59%"
"May 20","3,042.00","2,871.50","3,065.50","2,760.25","35.17M","4.81%"
"Apr 20","2,902.50","2,562.00","2,965.00","2,424.75","38.09M","12.95%"
"Mar 20","2,569.75","2,900.00","3,137.00","2,174.00","56.20M","-12.92%"
"Feb 20","2,951.00","3,222.75","3,397.50","2,853.25","45.67M","-8.47%"
"Jan 20","3,224.00","3,237.00","3,337.50","3,181.00","36.94M","-0.22%"
"Dec 19","3,231.00","3,146.25","3,254.00","3,069.50","24.39M","2.78%"
"Nov 19","3,143.75","3,036.00","3,155.00","3,033.00","22.85M","3.56%"
"Oct 19","3,035.75","2,984.00","3,055.00","2,855.00","30.90M","1.92%"
"Sep 19","2,978.50","2,901.00","3,023.75","2,889.00","25.25M","1.84%"
"Aug 19","2,924.75","2,970.25","3,014.25","2,775.75","44.45M","-1.93%"
"Jul 19","2,982.25","2,970.00","3,029.50","2,955.50","25.38M","1.29%"
"Jun 19","2,944.25","2,741.00","2,961.75","2,728.75","25.18M","6.97%"
"May 19","2,752.50","2,955.00","2,961.25","2,750.00","41.67M","-6.65%"
"Apr 19","2,948.50","2,844.50","2,956.50","2,844.50","23.84M","3.90%"
"Mar 19","2,837.75","2,785.25","2,866.00","2,722.00","28.09M","1.90%"
"Feb 19","2,784.75","2,707.75","2,814.00","2,680.75","25.30M","2.97%"
"Jan 19","2,704.50","2,508.00","2,713.00","2,438.50","33.83M","7.95%"
"Dec 18","2,505.25","2,793.50","2,814.00","2,316.75","34.50M","-9.17%"
"Nov 18","2,758.25","2,706.00","2,818.00","2,626.00","36.85M","1.74%"
"Oct 18","2,711.00","2,922.50","2,944.75","2,603.00","52.85M","-7.13%"
"Sep 18","2,919.00","2,906.50","2,944.00","2,865.00","22.73M","0.59%"
"Aug 18","2,902.00","2,824.25","2,917.50","2,791.00","24.96M","3.02%"
"Jul 18","2,817.00","2,721.00","2,849.50","2,698.50","23.21M","3.51%"
"Jun 18","2,721.50","2,707.50","2,791.75","2,693.25","26.24M","0.59%"
"May 18","2,705.50","2,646.25","2,741.75","2,591.25","28.62M","2.21%"
"Apr 18","2,647.00","2,635.00","2,718.50","2,552.00","35.48M","0.15%"
"Mar 18","2,643.00","2,718.25","2,802.50","2,586.00","36.31M","-2.63%"
"Feb 18","2,714.50","2,828.75","2,837.25","2,529.00","42.52M","-3.94%"
"Jan 18","2,825.75","2,675.25","2,878.50","2,674.50","28.82M","5.60%"
"Dec 17","2,676.00","2,640.75","2,698.25","2,605.00","20.22M","1.06%"
"Nov 17","2,648.00","2,572.75","2,658.50","2,555.50","27.33M","2.92%"
"Oct 17","2,572.75","2,518.00","2,580.75","2,517.00","24.34M","2.26%"
"Sep 17","2,516.00","2,470.25","2,517.75","2,445.50","23.16M","1.86%"
"Aug 17","2,470.00","2,468.00","2,488.50","2,415.75","32.32M","0.08%"
"Jul 17","2,468.00","2,422.00","2,480.50","2,405.25","22.17M","1.94%"
"Jun 17","2,421.00","2,413.75","2,451.50","2,402.25","27.99M","0.41%"
"May 17","2,411.00","2,381.50","2,417.75","2,344.50","27.95M","1.28%"
"Apr 17","2,380.50","2,357.50","2,394.75","2,322.75","27.33M","0.90%"
"Mar 17","2,359.25","2,364.50","2,401.00","2,317.75","31.68M","-0.15%"
"Feb 17","2,362.75","2,277.00","2,370.75","2,264.50","26.68M","3.88%"
"Jan 17","2,274.50","2,240.75","2,299.50","2,239.50","28.60M","1.71%"
"Dec 16","2,236.25","2,199.50","2,278.25","2,179.00","23.22M","1.71%"
"Nov 16","2,198.75","2,123.50","2,213.75","2,028.50","38.06M","3.71%"
"Oct 16","2,120.00","2,158.75","2,164.00","2,107.75","32.48M","-1.87%"
"Sep 16","2,160.50","2,169.00","2,189.25","2,107.00","31.68M","-0.41%"
"Aug 16","2,169.50","2,174.00","2,191.50","2,141.50","33.18M","0.06%"
"Jul 16","2,168.25","2,086.50","2,172.50","2,065.75","30.89M","3.73%"
"Jun 16","2,090.25","2,094.00","2,119.75","1,981.50","33.87M","-0.23%"
"May 16","2,095.00","2,060.75","2,103.75","2,022.00","32.87M","1.75%"
"Apr 16","2,059.00","2,052.75","2,105.25","2,026.00","34.57M","0.37%"
"Mar 16","2,051.50","1,928.00","2,064.50","1,920.75","31.52M","6.32%"
"Feb 16","1,929.50","1,929.75","1,968.75","1,802.50","42.33M","-0.03%"
"Jan 16","1,930.00","2,037.75","2,043.50","1,804.25","47.87M","-5.18%"
"Dec 15","2,035.50","2,085.50","2,105.00","1,992.25","28.31M","-2.13%"
"Nov 15","2,079.75","2,073.00","2,110.25","1,998.50","28.53M","0.29%"
"Oct 15","2,073.75","1,902.50","2,094.75","1,883.00","36.14M","8.64%"
"Sep 15","1,908.75","1,965.50","2,021.50","1,861.00","35.83M","-3.07%"
"Aug 15","1,969.25","2,098.75","2,107.00","1,831.00","46.04M","-6.16%"
"Jul 15","2,098.50","2,054.50","2,126.25","2,034.25","32.92M","2.14%"
"Jun 15","2,054.50","2,107.00","2,127.50","2,046.75","27.46M","-2.45%"
"May 15","2,106.00","2,082.75","2,134.00","2,057.00","24.43M","1.30%"
"Apr 15","2,079.00","2,058.00","2,119.75","2,033.50","26.73M","0.89%"
"Mar 15","2,060.75","2,104.00","2,115.50","2,033.25","27.27M","-2.00%"
"Feb 15","2,102.75","1,990.50","2,117.75","1,973.75","24.20M","5.75%"
"Jan 15","1,988.50","2,055.00","2,067.25","1,970.25","38.30M","-3.12%"
"Dec 14","2,052.50","2,063.25","2,088.75","1,968.25","23.62M","-0.67%"
"Nov 14","2,066.25","2,011.25","2,075.25","1,995.25","22.06M","2.72%"
"Oct 14","2,011.50","1,961.00","2,016.75","1,813.00","54.34M","2.34%"
"Sep 14","1,965.50","1,999.00","2,022.50","1,955.50","28.65M","-1.80%"
"Aug 14","2,001.50","1,926.00","2,003.75","1,890.25","27.91M","3.99%"
"Jul 14","1,924.75","1,954.50","1,985.75","1,923.50","33.20M","-1.42%"
